RABDN,RPRU,RWTB,RFTSE,covidr
-0.040623971,-0.019418366,-0.016863406,-0.016138796,1
-0.013857308,-0.005730854,0.028301887,-0.0019041,1
0.007439311,0.007816308,-0.011676397,0.017134603,1
-0.016366541,-0.015104074,0.011814346,-0.011093038,1
0.010404777,0.001240641,-0.000834028,0.00142289,1
-0.023506409,-0.007038799,0.025459098,-0.00754433,1
0.001690843,0.018770311,0.029304029,-0.00607001,1
-0.037535537,-0.02251597,-0.038750494,-0.01702336,1
0.022799649,-0.008371478,0.016042781,0.013459455,1
-0.028292947,-0.018165543,0.012145749,-0.015164241,1
-0.008776818,-0.023649917,0.0104,-0.008849981,1
0.031529632,0.024222784,0.005938242,0.023852059,1
0.011672268,-0.003012102,-0.035419126,-0.00119581,1
0.015308642,0.000439285,-0.035495716,0.013918352,1
-0.010081358,0.013791064,0.002115059,-0.001583278,1
-0.002099339,0.001281677,-0.023638666,0.004792348,1
-0.012309207,-0.0063737,-0.009079118,-0.000968155,1
0.00643524,0.015387896,-0.014397906,0.013157436,1
-0.005538545,-0.001259975,0.011952191,-0.00443204,1
-0.021915327,-0.004213975,-0.014435696,-0.004698543,1
0.008332948,-0.009317016,-0.02352419,-0.007086044,1
-0.053578807,-0.059829136,-0.041363636,-0.033753673,1
-0.010138741,-0.023633427,-0.028449502,0.004336448,1
0.005586866,0.02979732,0.011713031,0.011973665,1
-0.030069692,-0.00226408,-0.010130246,-0.012964338,1
-0.003818712,0.00452902,0.004873294,0.003415894,1
0.057903763,0.034278483,0.049466537,0.014592643,1
0.014494136,-0.00915336,-0.030036969,-0.005133326,1
0.00803647,-0.023771631,0.012386851,-0.00532429,1
0.031842976,-0.001349161,0.013176471,0.002275788,1
0.029595156,0.018510353,0.007895959,0.003855803,1
0.003335235,0.006650578,0.00875576,0.006916159,1
0.017845427,0.019810768,0.056190041,0.001177868,1
-0.006102015,-0.009932794,-0.000865052,-0.000620174,1
0.006571836,0.006978304,0.017316017,0.005344545,1
0.010996091,0.007361941,0.022553191,0.006460322,1
0.015337554,0.002153131,-0.037453184,-0.002537957,1
-0.028621642,-0.023169982,-0.017293558,-0.00527712,1
0.010209356,-0.016245026,-0.012318522,-0.005804302,1
